City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nikolskoye,59.7035,30.7861,1.62,93,100,3.53,RU,2023-02-08 21:10:19
1,granville,-33.8333,151.0167,21.88,93,75,3.09,AU,2023-02-08 21:16:19
2,kutum,14.2,24.6667,13.42,15,26,3.93,SD,2023-02-08 21:16:21
3,punta arenas,-53.15,-70.9167,15.06,67,100,13.89,CL,2023-02-08 21:08:01
4,port alfred,-33.5906,26.891,19.54,95,100,0.45,ZA,2023-02-08 21:08:50
5,busselton,-33.65,115.3333,14.52,90,2,4.9,AU,2023-02-08 21:08:42
6,jamestown,42.097,-79.2353,7.79,53,0,2.24,US,2023-02-08 21:08:39
7,marawi,7.9986,124.2928,19.36,95,100,0.32,PH,2023-02-08 21:09:46
8,amahai,-3.3333,128.9167,25.77,82,100,3.98,ID,2023-02-08 21:16:23
9,wufeng,27.45,104.8333,3.29,91,100,1.6,CN,2023-02-08 21:16:24
10,ushuaia,-54.8,-68.3,18.79,62,100,3.69,AR,2023-02-08 21:08:25
11,yarim,14.298,44.3779,12.03,63,5,0.92,YE,2023-02-08 21:16:26
12,lac du bonnet,50.2536,-96.0612,0.97,99,100,2.71,CA,2023-02-08 21:16:26
13,berlevag,70.8578,29.0864,4.0,65,0,21.61,NO,2023-02-08 21:11:54
14,goundam,16.4145,-3.6708,26.41,12,1,5.21,ML,2023-02-08 21:16:27
15,helena,46.5927,-112.0361,1.9,56,100,9.26,US,2023-02-08 21:16:01
16,dikson,73.5069,80.5464,-16.16,78,100,4.99,RU,2023-02-08 21:08:43
17,lompoc,34.6391,-120.4579,22.66,21,0,2.06,US,2023-02-08 21:06:54
18,cape town,-33.9258,18.4232,22.73,64,13,6.71,ZA,2023-02-08 21:07:31
19,saskylakh,71.9167,114.0833,-38.84,100,91,2.58,RU,2023-02-08 21:12:16
20,vengerovo,55.6848,76.7471,-29.07,100,100,1.44,RU,2023-02-08 21:16:29
21,meulaboh,4.1363,96.1285,24.53,87,100,1.82,ID,2023-02-08 21:10:35
22,kazachinskoye,57.6953,93.2761,-18.33,99,90,1.54,RU,2023-02-08 21:16:31
23,lantana,26.5867,-80.052,25.58,67,75,8.23,US,2023-02-08 21:16:35
24,socorro,31.6546,-106.3033,14.46,28,0,6.69,US,2023-02-08 21:12:29
25,longonjo,-12.9067,15.2533,17.56,65,83,1.03,AO,2023-02-08 21:16:36
26,acapulco,16.8634,-99.8901,29.9,58,0,5.66,MX,2023-02-08 21:12:39
27,port elizabeth,-33.918,25.5701,20.73,83,100,0.89,ZA,2023-02-08 21:08:23
28,kodiak,57.79,-152.4072,-1.27,40,0,1.54,US,2023-02-08 21:09:58
